Date,Food,Mines,Oil,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other
192607,   0.51,   3.75,  -1.37,   6.05,  -1.62,   8.48,   1.41,   2.32,   4.06,   8.79,   3.79,  15.36,   1.84,   7.04,   0.14,  -0.02,   1.16
192608,   3.06,   0.72,   3.55,   0.13,  -1.96,   5.66,   5.86,   4.33,   2.18,  -5.60,   2.36,   3.98,   4.54,  -1.70,  -0.69,   4.26,   3.03
192609,   1.32,   1.11,  -3.58,   0.27,   0.23,   5.57,   1.22,  -0.08,   0.16,  -4.13,  -0.66,   5.77,   0.33,   2.05,   0.21,  -1.63,   1.75
192610,  -3.15,  -0.78,  -1.02,   0.36,  -6.05,  -4.76,   0.69,  -4.78,  -3.85,  -5.14,  -3.34,  -8.47,  -2.91,  -3.27,  -2.25,  -5.52,  -0.92
192611,   6.53,   4.38,  -0.01,   2.24,  -1.95,   5.25,   4.64,   2.45,   4.21,   3.57,   4.59,  -0.26,   2.20,   4.40,   6.46,   2.54,   1.50
192612,  -0.50,   1.67,   2.92,   2.00,   3.81,   5.37,   2.27,   4.33,   3.39,  -3.85,   1.28,  10.81,   3.56,  -0.18,   0.61,   2.16,   1.67
192701,  -0.95,   0.99,   1.70,  -1.07,   4.66,   0.41,   0.37,  -2.78,  -0.38,  -2.28,  -0.58,  -1.09,   1.23,  -1.79,  -2.52,  -2.05,   1.75
192702,   4.71,   5.38,   0.98,   4.14,   2.27,   9.77,   1.60,   4.57,   3.67,   6.12,   5.34,   9.61,   5.14,   4.54,   3.62,   2.71,   4.25
192703,   1.95,   4.90,  -7.02,  -0.93,  -2.49,   6.08,   4.93,   3.93,   1.48,  -9.00,   0.67,   1.75,   0.70,   0.37,  -0.43,   0.90,   3.52
192704,   2.93,   2.14,  -5.83,   4.43,   2.31,   3.08,   4.13,  -0.71,  -0.34,   5.14,   4.98,   3.10,   0.63,   1.71,   4.49,   2.46,  -1.81
192705,   6.34,   1.45,   4.94,   6.25,   8.27,   4.00,  11.14,   5.84,   3.22,   6.40,   7.74,   5.93,   7.44,   9.23,   2.35,  10.03,   3.54
192706,  -2.09,  -2.55,  -3.12,   1.27,  -3.52,  -1.86,  -2.42,  -4.46,  -3.52,   6.41,   1.65,  -2.97,  -2.22,  -3.58,  -0.60,  -0.07,  -2.44
192707,   4.94,   6.06,   2.91,   5.76,   5.94,  17.90,   4.87,   6.74,  10.35,  10.83,  12.01,  13.73,   6.60,   5.50,   9.90,   6.49,   4.60
192708,   2.47,   1.66,  -0.28,   0.96,   0.75,   2.14,   3.47,  -0.73,   4.36,   2.66,   4.06,   7.47,  -1.08,   3.26,   7.39,   1.83,   1.61
192709,   5.52,   4.66,   3.42,   3.93,   2.84,   5.88,   4.51,   5.85,   2.96,  -0.04,   2.08,   5.95,   4.25,   8.29,   7.54,   5.94,   6.91
192710,  -2.74,  -4.09,  -1.86,   6.99,  -5.33,  -7.54,   0.85,  -4.86,  -7.84,  -0.91,  -7.33,  -4.31,  -4.85,  -4.35,  -4.91,   4.01,  -1.48
192711,   7.50,   8.04,   3.83,   1.19,   0.30,   8.89,   6.25,   5.90,  12.46,  15.24,  10.46,   6.53,   4.35,   6.33,  11.78,   7.94,   5.23
192712,   3.23,   7.00,   0.06,   1.53,  10.43,  -0.22,   1.01,   0.32,   5.87,   3.01,   2.23,   7.80,   0.37,   2.24,  -0.70,  11.17,   1.24
192801,   2.74,  -2.26,  -1.82,   2.52,  -1.33,  -1.33,  -1.44,   2.49,  -2.42,   2.48,  -1.03,  -3.41,  -0.62,   5.88,  -0.88,   1.49,   0.74
192802,  -3.27,  -5.48,  -0.05,  -3.83,  -3.77,   0.97,  -4.74,   0.92,  -2.74,   0.64,  -1.09,   1.61,  -1.72,  -0.77,  -1.09,  -2.89,  -1.17
192803,   5.16,   6.66,   5.68,   6.03,  16.80,  13.40,   3.21,   6.63,   6.28,  12.21,  12.75,  28.64,   5.74,   6.65,   8.47,   9.57,   6.45
192804,   3.02,   0.30,  16.54,   1.83,   1.42,  -0.31,  -4.65,   2.04,   1.43,   0.90,   2.98,   1.21,   4.21,  10.96,   0.01,   9.35,   3.08
192805,   1.85,   0.92,  -5.77,  -3.13,  -0.77,   3.16,   0.78,  -1.29,   5.52,   7.81,   1.46,   6.17,  -0.56,   1.50,   3.81,   1.69,   5.93
192806,  -3.96,  -4.45,  -3.84,  -8.89, -11.34,  -2.97,  -3.82,  -3.68,  -5.84,  -5.75,  -3.76,  -3.63,  -4.20,  -3.44,  -3.38, -10.74,  -6.58
192807,   1.28,  -1.10,   1.21,  -1.78,  -1.02,   1.92,   3.52,   1.79,   2.74,   6.21,   0.95,   1.13,  -0.46,  -1.23,   5.51,   0.33,  -0.92
192808,   7.70,   6.22,   2.43,   0.82,   8.54,   8.91,   6.14,   4.55,   9.64,  16.28,   8.22,   8.99,   4.22,   6.48,  13.67,   5.16,   7.18
192809,   2.17,   1.79,   5.82,   1.72,   5.72,   3.87,   0.30,   5.17,   5.59,  -2.16,   1.86,   8.31,   0.24,   3.79,   0.15,   2.63,   0.71
192810,  -0.85,   1.91,   2.40,   1.71,   8.62,   5.48,   2.91,   5.12,   6.51,  -0.97,   1.44,  -0.16,  -1.31,  -1.91,   5.83,   1.50,   2.35
192811,   6.63,  12.53,  18.01,   6.34,  12.20,  12.36,   7.69,   9.65,  14.91,   5.07,  16.03,   4.27,   9.39,  22.01,  15.36,  10.18,  10.70
192812,   0.84,   1.24,  -4.58,  -3.60,  -3.60,   2.33,  -1.43,   1.43,   3.92,   1.69,   7.30,  -0.92,   0.35,   1.54,  -1.29,   0.65,   0.33
192901,   3.30,   6.70,  -8.10,  -1.53,   8.56,  23.11,   3.30,   8.47,   7.80,   3.47,  12.19,   1.03,   4.31,  13.30,  -3.86,   8.52,   9.45
192902,  -1.61,   6.46,  -0.21,  -0.35,  -5.97,  -0.24,  -4.07,  -3.41,   8.83,   7.34,  -1.24,   0.35,  -1.20,  -1.99,  -2.42,   0.92,   0.01
192903,  -4.86,   1.47,  12.34,  -6.63,  -7.80,  -3.53,  -4.22,  -5.76,  -0.09,   1.75,  -2.37,  -1.57,  -2.51,  -3.18,  -5.09,  -1.15,   6.09
192904,   3.43,  -4.95,   0.81,   3.32,   0.32,   3.88,  -1.54,   3.48,   1.15,  10.99,   3.51,  -0.88,   1.16,   5.02,   3.77,   3.26,   1.30
192905,  -5.46,  -9.58,  -5.64, -10.89, -10.26,  -7.05,  -2.26,  -6.95, -12.42,  -6.49,  -0.24, -15.35,   1.41,   4.68,  -8.68,  -5.88,  -9.06
192906,   8.29,   2.37,   1.01,   3.83,  16.80,  20.06,   1.03,   5.39,  10.71,  12.66,  17.91,   6.65,   6.47,  23.48,   9.58,   6.33,  12.12
192907,   4.66,   2.53,  -0.92,  -3.79,   8.47,   5.30,   2.04,   5.49,   3.47,   4.67,   9.77,  -3.71,   7.82,   9.17,   1.09,   8.39,   7.17
192908,   3.98,   7.93,  11.81,   0.52,   7.24,  11.95,   6.18,   2.90,  11.82,   9.78,   9.94,   2.71,   7.48,   9.01,   8.07,   5.42,  10.22
192909,  -2.34,  -4.16,  -3.10,  -3.62,   6.82,  -7.03,  -6.18,  -2.39,  -8.97,  -5.17,  -5.92,  -9.32,  -7.89,   0.92,  -5.55,  -5.20,  -3.15
192910, -14.97, -11.81, -10.21, -18.27, -33.53, -24.91,  -5.23, -15.95, -15.57, -21.61, -25.23, -28.44,  -9.80, -29.72, -24.01, -29.33, -18.69
192911,  -9.63, -11.80,  -6.53, -11.53, -12.55, -16.22,  -7.07, -10.30, -13.82, -16.04, -16.19, -17.62,  -8.03, -15.37, -12.39, -14.17, -12.53
192912,   0.02,  -2.98,  -0.86,  -1.92,   3.85,   6.63,   1.90,  -1.39,  -0.44,   5.54,   8.06,   5.06,   0.34,   8.16,  -6.12,   0.05,   0.15
193001,   4.64,   4.45,  -0.89,   7.25,   3.50,   8.03,   8.20,   7.16,   5.69,   8.57,  13.34,   5.65,   3.72,   8.51,   4.72,   9.74,   2.10
193002,  -0.08,   0.56,  -5.14,   3.00,  -8.25,   2.37,   4.10,   0.49,   0.09,  10.36,   6.33,   3.34,   2.51,   8.65,  -5.13,   6.17,   8.44
193003,   0.35,   1.58,  19.23,   1.76,  -0.16,  10.65,   4.40,   3.00,   5.54,   6.74,   7.23,  12.12,   4.15,   9.85,  -2.41,   8.83,   9.09
193004,   3.16, -12.13,   7.44,  -5.81,  -7.07,  -5.13,  -1.81,  -5.52, -13.29,  -4.01,   1.88,  -7.93,  -7.05,   3.31,   2.57,  -3.92,  -1.83
